app_name,app_size_bytes,app_price,app_ratings_count,app_rating,app_genre
Color Splash,28135424,0.99,29554,4,Photo & Video
Zombieville USA,27962441,0.99,32988,4,Games
Skype for iPhone,133238784,0,373519,3.5,Social Networking
Tumblr,151573504,0,334293,4,Social Networking
iSwap Faces,27069440,1.99,2302,3.5,Photo & Video
Match™ - #1 Dating App.,101259264,0,60659,3,Social Networking
Tozzle - Toddler's favorite puzzle,168192000,2.99,2562,4,Games
HomeBudget with Sync,17485824,4.99,3042,3.5,Finance
Wind Meter,5234688,0.99,338,2.5,Weather
Map My Run+ - GPS Running & Workout Tracker,237913088,2.99,16434,4.5,Health & Fitness
Map My Ride+ - GPS Cycling & Route Tracker,233513984,2.99,10046,4.5,Health & Fitness
HuffPost - News Politics & Entertainment,110420992,0,29107,3,News
Phrase Party!,47774720,1.99,878,4,Games
Minesweeper Classic,22259712,0.99,1140,3.5,Games
Sally's Spa,431771648,2.99,35074,4.5,Games
CBS Sports App - Sports Scores News Stats Watch,120357888,0,59639,3,Sports
Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,4.99,2913,4,Health & Fitness
iSwap Faces LITE,30796800,0,39722,3,Photo & Video
DIRECTV,151397376,0,81006,3.5,Entertainment
NYTimes Crossword - Daily Word Puzzle Game,46880768,0,53465,3.5,Games
Doodle Jump,48741376,0.99,395261,4.5,Games
LEDit – The LED Banner App,17145856,1.99,2021,4.5,Utilities
niconico,25808896,0,182,3,Entertainment
Fandango Movies - Times + Tickets,81924096,0,291787,4,Entertainment
iCab Mobile (Web Browser),19451904,1.99,2441,4,Utilities
iRagdoll - Ragdoll Physics,118683648,0.99,1372,4,Games
Proloquo2Go - Symbol-based AAC,723764224,249.99,773,4,Education
Dictionary.com Dictionary & Thesaurus,111275008,0,200047,4,Reference
20 Minutes.fr - l'actualité en continu,109616128,0,112,3.5,News
The Masters Tournament,120725504,0,148160,4.5,Sports
myAT&T,68491264,0,108507,3,Utilities
SFR TV,122153984,0,46,3,Entertainment
Shutterfly: Prints Photo Books Cards Made Easy,122315776,0,51427,4,Photo & Video
StickWars,17010688,0.99,53821,3.5,Games
Indeed Job Search,3691520,0,38681,4,Business
World Cup Table Tennis™,31387648,0.99,17776,4,Games
WhatsApp Messenger,135044096,0,287589,4.5,Social Networking
iStudiez Pro – Homework Schedule Grades,55815168,2.99,7308,4,Productivity
Zillow Real Estate - Homes for Sale & for Rent,132632576,0,342969,4.5,Lifestyle
2XL Supercross,270729216,4.99,6093,4,Games
Pocket Tanks Deluxe,39827456,4.99,5452,4.5,Games
Wells Fargo Mobile,57328640,0,43064,3,Finance
radio.de - Der Radioplayer,40717312,0,64,4.5,Music
AutoScout24 - mobile used & new car market,141136896,0,220,4.5,Productivity
Sky Burger - Build & Match Food Free,146228224,0,114096,4.5,Games
MindNode – Delightful Mind Mapping,52294656,9.99,1296,4,Productivity
Packing Pro,16332800,2.99,1293,4,Travel
USAA Mobile,164382720,0,19946,4,Finance
The Moron Test,45712384,0,88613,4,Entertainment
Sunday Lawn,16086016,0.99,107727,3.5,Games
Peggle Classic,223805440,0.99,21416,4.5,Games
SmartGo Player,22159360,2.99,533,4,Games
I Am T-Pain 2.0,20542280,2.99,32650,3.5,Music
TextNow - Unlimited Text + Calls,130637824,0,164963,3.5,Social Networking
Boating Weather,8900608,1.99,141,3,Weather
Best Buy,180500480,0,80424,4,Shopping
I Dig It,19853312,0.99,17190,4,Games
Unblock Me,42926080,0.99,7973,4,Games
Sonic The Hedgehog,36692992,2.99,19621,4,Games
10 Pin Shuffle Pro Bowling,36647936,3.99,7315,4,Games
Sky News,91697152,0,118,3,News
ESPN: Get scores news alerts & watch live sports,51538944,0,290996,3.5,Sports
LiveATC Air Radio,8302592,3.99,2785,4,Travel
The Sims 3,430128128,6.99,54408,3.5,Games
Chess Pro with Coach - LearnPlay & Online Friends,69960704,9.99,8138,4,Games
Guess My Age  Math Magic,767126,0,123190,3,Education
Crush the Castle,12996628,0.99,23810,3.5,Games
2016 U.S. Open Golf Championship,139545600,0,54192,4,Sports
The Championships Wimbledon 2016 - Tennis Grand Slam,130394112,0,20953,4,Sports
TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,9.99,71609,4.5,Music
NBC News,52951040,0,32881,3.5,News
Grindr - Gay and same sex guys chat meet and date,80409600,0,23201,2.5,Social Networking
Whole Foods Market,137312256,0,17906,3,Shopping
NAVIGON Europe,144412672,74.99,927,3.5,Navigation
Virtual Families,27746273,1.99,18920,3.5,Games
Sparkasse+,119648256,0.99,30,3,Finance
Sparkasse - Your mobile branch,119574528,0,77,3,Finance
Sleep Cycle alarm clock,79315968,0,104539,4.5,Health & Fitness
FACEinHOLE®,12818432,0.99,4016,4,Photo & Video
Harvest - Select the Best Produce,18165760,1.99,299,4,Food & Drink
WORMS,253834240,1.99,5758,4,Games
Pixel Starships™ : 8Bit MMORPG,69083136,0,5565,4.5,Games
Traffic Rush,8573952,0.99,213092,3.5,Games
MyRadar NOAA Weather Radar Forecast,127284224,0,150158,4.5,Weather
Resident Evil 4: PLATINUM,81374398,4.99,6046,4,Games
Waze - GPS Navigation Maps & Real-time Traffic,94139392,0,345046,4.5,Navigation
Cartoon Wars,13216994,0.99,35930,3.5,Games
Moto X Mayhem,21010210,0.99,22557,4,Games
Fantasy Football Manager - FFM for FPL,35998720,0.99,292,3,Sports
Spotify Music,132510720,0,878563,4.5,Music
McDo France,37001216,0,22,3.5,Food & Drink
PGA Championship 2016 – Baltusrol Golf Club,64147456,0,10472,3.5,Sports
BFMTV : l'info en continu,100779008,0,115,4,News
MyRadar Pro NOAA Weather Radar Forecasts & Storms,123718656,1.99,13915,4.5,Weather
Spider: The Secret of Bryce Manor,126312448,1.99,6780,4,Games
My Measures PRO,79882240,7.99,1701,4,Productivity
Food Additives Checker (E Numbers),6418432,1.99,6,3.5,Health & Fitness
SFR Mon Compte,74093568,0,19,3,Utilities
Baby Connect (Activity Log),12937216,4.99,3483,4.5,Medical
Epson iPrint,53388288,0,2838,3,Photo & Video
Mad Libs,118498304,0,117889,3,Entertainment
BATTLE BEARS: Zombies!,103197675,0.99,50710,3.5,Games
Hurricane Tracker,24574976,2.99,3960,4.5,Weather
NFL Sunday Ticket,96093184,0,24258,3,Entertainment
2016 US Open Tennis Championships,77700096,0,37522,4,Sports
Dropbox,180804608,0,49578,3.5,Productivity
Wa Kingyo - Goldfish Pond,56397824,0.99,626,4,Entertainment
Monkey Preschool Lunchbox,229272576,1.99,9286,4,Games
Yahoo Fantasy Sports,131000320,0,190670,3.5,Sports
Gaia GPS Classic,53097472,19.99,2429,4.5,Navigation
iLoan Calc (Loan calculator),3375104,3.99,0,0,Finance
Geocaching®,108166144,0,12811,3.5,Navigation
Camera+,89187328,1.99,32338,4,Photo & Video
Alter Ego,13647872,4.99,262,4,Games
Parking Mania,123544576,0.99,9657,4.5,Games
Sudoku⁺,1608704,2.99,18332,4.5,Games
Period Tracker Lite,50169856,0,53620,4,Health & Fitness
Camera Plus: For Macro Photos & Remote Photography,101181440,0.99,38533,2.5,Photo & Video
The perfect Egg timer,15329280,0.99,40,3.5,Food & Drink
Letter Quiz - alphabet tracing for kids,31845376,1.99,472,4,Games
Starbucks,135032832,0,303856,4.5,Food & Drink
央视影音-海量央视内容高清直播,54648832,0,2070,2.5,Sports
Bloons TD,8432232,2.99,7941,4,Games
Weight Watchers,230720512,0,136833,3.5,Health & Fitness
CNN: Breaking US & World News Live Video,80211968,0,112886,3.5,News
Gilt,148201472,0,26353,3.5,Shopping
TRUTH or DARE!!! - FREE,20795392,0,171055,3,Entertainment
Canabalt,27934720,2.99,4540,4,Games
Alipay - Makes Life Easy,208309248,0,1926,3,Lifestyle
Scanner911 Pro,33812480,3.99,14345,4,News
Daily Teachings,20298752,4.99,1340,4.5,Lifestyle
Scanner Pro - PDF document scanner app with OCR,101346304,3.99,31912,4.5,Business
Twitter,210569216,0,354058,3.5,News
Trainline UK: Live Train Times Tickets & Planner,110198784,0,248,4,Travel
CBS News - Watch Free Live Breaking News,78047232,0,11691,3.5,News
iOvilus,9946112,1.99,381,3,Entertainment
The Impossible Quiz!,44652544,0,18884,4,Entertainment
WolframAlpha,30369792,2.99,7410,4,Reference
Catan,376171520,1.99,15175,4,Games
ScanBizCards Business Card Reader,96815104,0.99,3166,4,Business
Walgreens – Pharmacy Photo Coupons and Shopping,169138176,0,88885,4.5,Shopping
King of Dragon Pass,364490752,9.99,882,5,Games
Stylebook,44135424,3.99,1729,4,Lifestyle
NBA,112074752,0,43682,3.5,Sports
Blower,98942976,0.99,861,2,Entertainment
My Cycles Period and Ovulation Tracker,77686784,0,7469,3.5,Health & Fitness
Kmart – Download Now Shop Online & Pick Up Today!,94496768,0,4186,3.5,Shopping
优酷视频,204959744,0,4885,3.5,Entertainment
DOOM Classic,32796672,4.99,3970,4,Games
SoundCloud - Music & Audio,105009152,0,135744,4,Music
imo video calls and chat,22562816,0,18841,4,Social Networking
Plane Finder - Flight Tracker,52632576,3.99,1438,4,Navigation
Runtastic Running Jogging and Walking Tracker,151388160,0,10298,4.5,Health & Fitness
iFiles,47323136,0.99,1842,3.5,Productivity
TeachMe: Kindergarten,59846656,1.99,2548,4,Education
Moorhuhn Deluxe - Crazy Chicken,27807744,0.99,319,3,Games
Victoria’s Secret – The Sexiest Bras & Lingerie,60976128,0,34507,3.5,Shopping
MONOPOLY Game,194386944,0.99,26482,3.5,Games
n-tv Nachrichten,49470464,0,273,3,News
Shazam Encore,147118080,2.99,8331,4,Music
Harry Potter: Spells,125411328,0.99,17023,4,Games
First Words Deluxe,63316992,4.99,1101,4,Games
Clay Hunt,15313920,0.99,1193,4,Games
Dream Team - be your own fantasy football manager,69816320,0,35,2.5,Sports
Jet Car Stunts,32848910,1.99,4088,4,Games
Call of Duty: Zombies,52821364,4.99,63943,4,Games
Walmart: Free 2-Day Shipping* Easy Store Shopping,146507776,0,70286,3,Shopping
AirWatch Agent,24747008,0,1150,2.5,Business
Shop Savvy Barcode Scanner - Price Compare & Deals,89517056,0,54630,2.5,Shopping
Voice Changer Plus,40722432,0,98777,3,Entertainment
CatPaint,73332736,0.99,649,4,Photo & Video
Redbox,83906560,0,60236,3,Entertainment
クックパッド - No.1料理レシピ検索アプリ,76644352,0,115,3.5,Food & Drink
Trenches,37340259,0.99,26732,4,Games
The Christmas List,26137600,1.99,2722,4.5,Shopping
Macy's,107816960,0,11013,3.5,Shopping
Calorie Counter & Diet Tracker by MyFitnessPal,152700928,0,507706,4.5,Health & Fitness
BlaBlaCar - Trusted Carpooling,112024576,0,397,4.5,Travel
Refills Calendar - Scheduler - Note,35864576,9.99,196,4,Productivity
5-0 Radio Pro Police Scanner (Extra Feeds),49594368,3.99,24553,4,News
Hipstamatic,114081792,2.99,12557,3.5,Photo & Video
Sing Karaoke Songs Unlimited with StarMaker,91267072,0,26227,4,Music
TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,8821760,4.99,28388,5,Business
Positivity with Andrew Johnson,69513216,2.99,282,4,Health & Fitness
Rat On A Scooter XL,7767040,0.99,19296,4,Games
IMDb Movies & TV - Trailers and Showtimes,88702976,0,183425,4.5,Entertainment
Angry Birds,175966208,0,824451,4.5,Games
DB Navigator,84791296,0,512,3.5,Travel
Video Calls with Santa,27997184,2.99,315,3.5,Lifestyle
Voyages-sncf.com : book train and bus tickets,131463168,0,268,3.5,Travel
The Font Game,5415000,1.99,438,4.5,Games
ImmobilienScout24: Real Estate Search in Germany,126867456,0,187,3.5,Navigation
Grand Theft Auto: Chinatown Wars,878883840,4.99,15142,4,Games
Southwest Airlines,88773632,0,30552,3,Travel
The Sims 3 World Adventures,812758016,2.99,9744,3.5,Games
Star Chart,28616704,0,13482,4.5,Education
TaxCaster – Free tax refund calculator,7111680,0,17516,3.5,Finance
Glow Hockey 2 FREE,34056767,0,186653,3.5,Games
Big Button Box - funny sounds sound effects buttons pro fx soundboard fun games board scary music annoying fart noises jokes super cool dj effect cat dog & animal fx,21450752,0.99,10031,4,Entertainment
TV SPIELFILM - TV Programm mit Live TV,97879040,0,81,3,Entertainment
All-in-1 Logic GameBox,22299021,0.99,9854,4,Games
Roadside America,10231808,2.99,1093,4,Travel
Pocket Yoga,132480000,2.99,4475,4.5,Health & Fitness
Sonic the Hedgehog 2,47182848,2.99,9405,4,Games
Simply Being - Guided Meditation for Relaxation and Presence,100048896,1.99,2417,4.5,Health & Fitness
CamCard - Business card scanner & reader,174839808,0.99,2923,4.5,Business
This American Life,13725696,2.99,8657,3.5,Entertainment
Timetracks - Slit-Scan Camera,11369472,0.99,70,2,Photo & Video
franceinfo - l'actualité & les élections en direct,155857920,0,162,4,News
DOUBUTSU URANAI®-Animal Fortune-,38718464,0.99,5,4,Lifestyle
Doodle Army,17879270,0.99,12354,4,Games
Ameba,96635904,0,269,3,Social Networking
eBook: War and Peace,8039424,3.99,0,0,Book
Plants vs. Zombies,105379840,0.99,426463,5,Games
Weibo,199585792,0,7265,3.5,Social Networking
大众点评-发现品质生活,244516864,0,844,4,Lifestyle
AlloCiné : Cinéma et Séries,123450368,0,101,4,Entertainment
Badoo - Meet New People Chat Socialize.,157625344,0,34428,4.5,Social Networking
Flick Kick Field Goal,75612160,1.99,36946,4.5,Games
Venmo,68153344,0,21090,4.5,Finance
Dungeons & Such TreasuresCollectibles and Dragons,84469760,2.99,653,4.5,Games
StarMap 3D+: Night Sky Astronomy Star View Guide,100368384,3.99,1118,4.5,Education
Shift Worker,7344128,1.99,348,4,Productivity
Spy Calc - Hide pictures videos documents,25097281,1.99,207,3.5,Utilities
Waterlogged - Daily Hydration Tracker,43439104,0,5000,4.5,Health & Fitness
MyNetDiary PRO - Calorie Counter and Food Diary,83851264,3.99,15188,4.5,Health & Fitness
The Washington Post Classic,118980608,0,18572,4.5,News
F-Sim Space Shuttle,76394496,4.99,6403,4.5,Games
Groupon - Deals Coupons & Discount Shopping App,127382528,0,417779,4.5,Shopping
Learn to Speak Spanish Fast With MosaLingua,48819200,4.99,9,5,Education
Coaster VR Extreme Endless 3D Stereograph,30977024,0.99,107,2.5,Entertainment
Parents Calling Easter Bunny,8073209,1.99,72,2,Lifestyle
Sporcle,15676416,2.99,2044,3.5,Games
Univision Deportes: Liga MX MLS Fútbol En Vivo,81876992,0,16683,3.5,Sports
DOOM II RPG,48700821,0.99,1455,3,Games
STREET FIGHTER IV,581353472,4.99,15056,4,Games
Dr. Seuss Camera - The Cat in the Hat Edition,9906176,0.99,249,4.5,Photo & Video
FINAL FANTASY,114843648,7.99,6091,4,Games
FINAL FANTASY II,199450624,7.99,2754,4,Games
Worms 2: Armageddon,529755136,4.99,9870,4.5,Games
SoundHound Song Search & Music Player,70516736,0,82602,4,Music
Jourist Weltübersetzer,147066880,7.99,0,0,Travel
TeachMe: 1st Grade,90241024,1.99,762,4,Education
TeachMe: 3rd Grade,174268416,1.99,160,4,Education
ヤフオク! 利用者数NO.1のオークション、フリマアプリ,187040768,0,9,3,Shopping
Kik,151864320,0,260965,4,Social Networking
Slow Shutter Cam,4466688,1.99,2305,4,Photo & Video
PeakFinder Earth,35478528,4.99,137,4,Travel
AgingBooth,31869952,0,11999,4,Entertainment
iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text Logo & Graphics Overlays.,21771264,1.99,1995,4.5,Photo & Video
Tabs & Chords by Ultimate Guitar - learn and play,103049216,2.99,35045,4.5,Music
Dude your car!,40586240,0.99,343,4,Entertainment
Drawing Pad,220397568,1.99,1824,4,Entertainment
ESPN Tournament Challenge,69057536,0,39642,4,Sports
Solitaire,101943296,0,679055,4.5,Games
Notability,122235904,9.99,17594,4,Productivity
Rubik's® Cube,151954432,1.99,3531,4,Games
Super Why! Power to Read,138047488,3.99,1080,3.5,Education
Amex Mobile,105982976,0,11421,4,Finance
Fruit Ninja Classic,104590336,1.99,698516,4.5,Games
Animation Creator HD,32051200,3.99,4497,4,Entertainment
Plants vs. Zombies HD,225859584,0.99,163598,5,Games
SCRABBLE Premium for iPad,229992448,9.99,39678,3.5,Games
Graphic - illustration and design,32604160,8.99,1809,4.5,Productivity
Ship Finder,22948864,4.99,624,3.5,Navigation
Photogene ⁴,35422208,2.99,3761,4.5,Photo & Video
Hurricane HD,32083968,3.99,353,4,Weather
Star Walk HD - Night Sky Map,150221824,4.99,6503,4.5,Education
Space War HD,30270464,0.99,71,3,Games
Netflix,125016064,0,308844,3.5,Entertainment
forScore,35717120,9.99,3909,4.5,Music
ComicGlass [ComicReader],31955968,2.99,308,4.5,Utilities
iAnnotate PDF,44099584,9.99,11156,4.5,Productivity
ArtStudio for iPad - Draw Sketch and Paint,34310144,4.99,8542,4.5,Photo & Video
Call of Duty: Zombies HD,35602607,4.99,5853,3.5,Games
Small World 2,234123264,1.99,1506,4,Games
Qzone,133874688,0,1649,3.5,Social Networking
ABC – Watch Live TV & Stream Full Episodes,85724160,0,78890,3,Entertainment
Fieldrunners for iPad,219693056,3.99,2147,4,Games
Angry Birds HD,176164864,0,89110,4.5,Games
The Weather Channel App for iPad – best local forecast radar map and storm tracking,59101184,0,208648,4,Weather
Do Not Press The Red Button HD,10907191,1.99,856,2.5,Entertainment
Digits the calculator for humans,4177920,3.99,7825,4.5,Productivity
PDF Reader Pro Edition - Annotateedit & sign PDFs,62978048,9.99,7033,4,Business
National Geographic World Atlas,66138112,1.99,4255,4,Reference
FileBrowser - Access files on remote computers,68073472,5.99,3230,4.5,Utilities
Dictionary.com Dictionary & Thesaurus for iPad,165748736,0,54175,4.5,Reference
Animation & Drawing by Do Ink,33857536,4.99,308,4,Education
AirCoaster - Roller Coaster Builder,22763520,0.99,2602,3,Games
Documents 6 - File manager PDF reader and browser,107259904,0,29110,4.5,Productivity
The World Factbook for iPad,73224192,1.99,273,3.5,Reference
Photo Transfer App - Easy backup of photos+videos,45182976,0,15654,4.5,Photo & Video
TwitCasting Viewer - Watch Live Video & Radio,16292864,0,189,2.5,Entertainment
Ski Tracks,24851456,0.99,829,4.5,Navigation
The Photographer's Ephemeris,58463232,8.99,663,5,Photo & Video
▻Sudoku,71002112,0,359832,4.5,Games
StubHub - Tickets to Sports Concerts and Theatre,112609280,0,9011,3.5,Entertainment
Runtastic PRO Running Jogging and Fitness Tracker,149536768,4.99,17667,4.5,Health & Fitness
OverDrive – Library eBooks and Audiobooks,39844864,0,65450,4,Book
Hotels & Vacation Rentals by Booking.com,105609216,0,31261,4.5,Travel
The Impossible Game,14160896,0.99,9885,4,Games
PrankDial - #1 Prank Call App,112515072,0,11091,3,Entertainment
Fox News,64705536,0,132703,4,News
Live Cams - HD,37161984,4.99,286,2.5,Travel
QR Reader for iPhone,54776832,0,12683,4,Utilities
Uber,283852800,0,49466,3,Travel
WEB.DE Mail,101923840,0,168,4,Productivity
iBunkoHD,40479744,6.99,114,4,Book
Hurricane Tracker For iPad,10612736,2.99,2798,4.5,Weather
6play TV en direct et en replay,94592000,0,62,3.5,Entertainment
AudioNote - Notepad and Voice Recorder,33213440,9.99,1756,4,Business
Breathing Zone: Guided Breathing for Mindfulness,37140480,3.99,511,4.5,Health & Fitness
My Virtual Girlfriend - Deluxe Dating Sim,144180224,0.99,2609,3.5,Games
Fake-A-Location Free ™,7689537,0,354,1.5,Social Networking
QQ 浏览器-搜新闻、选小说漫画、看视频,119812096,0,1750,3.5,Utilities
Math Ninja HD,25137152,1.99,1121,4.5,Games
Résultats Foot en Direct,65074176,0,339,4.5,Sports
Chase Mobile,34950144,0,34322,4.5,Finance
Captio - Email yourself with 1 tap,19054592,1.99,162,4.5,Productivity
My Vodafone,83575808,0,8,3,Utilities
Math Bingo,14602240,2.99,4386,4.5,Education
▻Sudoku +,61595648,4.99,5397,5,Games
Tango - Free Video Call Voice and Chat,134848512,0,75412,4.5,Social Networking
MeetMe - Chat and Meet New People,133956608,0,97072,4,Social Networking
WebMD for iPad,17613824,0,9142,3.5,Health & Fitness
GeoBee Challenge HD by National Geographic,35975168,1.99,1957,4.5,Games
OPlayer HD - video player classic media streaming,127020032,4.99,2944,4,Entertainment
TouchRetouch,27962368,1.99,588,4,Photo & Video
Cat Physics,14824448,1.99,40552,4.5,Games
随手记（专业版）-好用的记账理财工具,83899392,0.99,1267,4.5,Finance
AnkiMobile Flashcards,19371008,24.99,753,4,Education
WeatherPro for iPad,59475968,2.99,725,4,Weather
Real英会話,80203776,3.99,45,4.5,Education
BATTLE BEARS -1,227403527,0.99,14910,4,Games
Crash Bandicoot Nitro Kart 2,75254654,2.99,3064,3.5,Games
WIRED Magazine,23879680,0,12074,2.5,News
Popplet,4893696,4.99,336,4,Productivity
Notes Plus,109620224,9.99,6257,4,Productivity
Color Splash for iPad,18752512,1.99,2445,4.5,Photo & Video
Robot Unicorn Attack,52117504,0.99,22150,4,Games
SimSimi,31358976,0,23530,4,Social Networking
Carcassonne,359192576,9.99,10846,4.5,Games
Apple Store,70782976,0,55171,3.5,Shopping
TED,84056064,0,5782,3.5,Education
Météo-France,124090368,0,24,3.5,Weather
Ma Banque,137866240,0,17,3.5,Finance
Doodle God™,121715712,1.99,35759,4.5,Games
Carnivores: Dinosaur Hunter Pro,304654336,2.99,18306,4,Games
Blackboard Mobile Learn™,51179520,0,13567,2,Education
SEC Football Schedules Scores & Radio,60380160,1.99,240,3,Sports
Hulu: Watch TV Shows & Stream the Latest Movies,99568640,0,56170,2,Entertainment
かなもじ,61272064,3.99,19,4.5,Education
恵方コンパス.,41207059,0,0,0,Navigation
360 Panorama,7954432,1.99,10463,4.5,Photo & Video
Mega Millions & Powerball - lottery games in the US with winning number results lotto jackpots and prize payouts,7876608,0,1255,4.5,Lifestyle
Cake Doodle,99558400,0.99,5803,4,Games
The Impossible Quiz! for iPad,16857290,1.99,227,4,Games
Boating USA,111196160,9.99,342,3.5,Navigation
Diptic,36705280,2.99,7578,4.5,Photo & Video
Family Feud™ HD,79312792,6.99,1156,3.5,Games
Edmodo,127939584,0,7197,3.5,Education
Auto Palmistry Premium,44349440,2.99,5,3,Entertainment
Drift Mania Championship,1178477568,0.99,3432,3,Games
「宅建士」過去問題《受験用》,24444928,3.99,0,0,Education
Osmos for iPad,41772032,4.99,24306,4.5,Games
携程旅行-酒店、机票、火车票预订助手,144488448,0,312,3.5,Travel
Audible – audio books original series & podcasts,81558528,0,105274,4.5,Book
Living Earth - Clock & Weather,169009152,2.99,25475,4.5,Utilities
